;;;;;;;
;PELÍCULAS;;;;;;
;idPelicula;Titulo;Año;Duración;Nota IMDb;Género;Poster
;226;Brokeback Mountain (En terreno vedado);2005;134min;7.7;Romántica;https://pics.filmaffinity.com/brokeback_mountain-409244136-mmed.jpg
;227;La cruda realidad;2009;97min;6.4;Romántica;https://pics.filmaffinity.com/the_ugly_truth-710849504-mmed.jpg
;228;En la playa de Chesil;2017;105min;6.3;Romántica;https://pics.filmaffinity.com/on_chesil_beach-387604901-mmed.jpg
;229;The Holiday (Vacaciones);2006;138min;6.9;Romántica;https://pics.filmaffinity.com/the_holiday-177175899-mmed.jpg
;230;After. Aquí empieza todo;2019;105min;5.3;Romántica;https://pics.filmaffinity.com/after-117306772-mmed.jpg
;231;¿No es romántico?;2019;88min;5.9;Romántica;https://pics.filmaffinity.com/isn_t_it_romantic-859831468-mmed.jpg
;232;Cada día;2018;95min;6.5;Romántica;https://pics.filmaffinity.com/every_day-314614876-mmed.jpg
;233;One Day (Siempre el mismo día);2011;108min;7.0;Romántica;https://pics.filmaffinity.com/one_day-871097561-mmed.jpg
;234;Una habitación con vistas;1985;117min;7.3;Romántica;https://pics.filmaffinity.com/a_room_with_a_view-377068271-mmed.jpg
;235;Last Christmas;2019;102min;6.5;Romántica;https://pics.filmaffinity.com/last_christmas-585055548-mmed.jpg
;236;Ha nacido una estrella;2018;135min;7.6;Romántica;https://pics.filmaffinity.com/a_star_is_born-447479418-mmed.jpg
;237;Los puentes de Madison;1995;135min;7.6;Romántica;https://pics.filmaffinity.com/the_bridges_of_madison_county-998728421-mmed.jpg
;238;Casablanca;1942;102min;8.5;Romántica;https://pics.filmaffinity.com/casablanca-612211000-mmed.jpg
;239;Más allá del tiempo;2009;107min;7.1;Romántica;https://pics.filmaffinity.com/the_time_traveler_s_wife-260366022-mmed.jpg
;240;Amor a medianoche;2017;91min;6.6;Romántica;https://pics.filmaffinity.com/midnight_sun-647251039-mmed.jpg
;241;Antes de ti;2016;110min;7.4;Romántica;https://pics.filmaffinity.com/me_before_you-594538815-mmed.jpg
;242;Tengo ganas de ti;2012;124min;6.9;Romántica;https://pics.filmaffinity.com/tengo_ganas_de_ti_3msc_2-912931811-mmed.jpg
;243;Hasta que te encontré;2018;104min;6.7;Romántica;https://pics.filmaffinity.com/forever_my_girl-326855691-mmed.jpg
;244;A dos metros de ti;2019;116min;7.2;Romántica;https://pics.filmaffinity.com/five_feet_apart-293759292-mmed.jpg
;245;La fábrica de sueños;2019;125min;6.6;Romántica;https://pics.filmaffinity.com/traumfabrik-191317621-mmed.jpg
;246;El príncipe de las mareas;1991;129min;6.8;Romántica;https://pics.filmaffinity.com/the_prince_of_tides-579669069-mmed.jpg
;247;Llévame a la luna;2012;105min;6.3;Romántica;https://pics.filmaffinity.com/un_plan_parfait-387894539-mmed.jpg
;248;La saga Crepúsculo: Luna nueva;2009;130min;5.5;Romántica;https://pics.filmaffinity.com/the_twilight_saga_new_moon_twilight_2-890518239-mmed.jpg
;249;Amor y otras drogas;2010;113min;6.7;Romántica;https://pics.filmaffinity.com/love_and_other_drugs-886095999-mmed.jpg
;250;El diario de Noa;2004;124min;7.8;Romántica;https://pics.filmaffinity.com/the_notebook-565006977-mmed.jpg
;251;Dragon Ball Super: Broly;2018;100min;7.8;Animada;https://pics.filmaffinity.com/doragon_boru_cho_burori-949664812-mmed.jpg
;252;Spider-Man: Un nuevo universo;2018;117min;8.4;Animada;https://pics.filmaffinity.com/spider_man_into_the_spider_verse-917347027-mmed.jpg
;253;Big Hero 6;2014;108min;7.8;Animada;https://pics.filmaffinity.com/big_hero_6-799861615-mmed.jpg
;254;Coco;2017;109min;8.4;Animada;https://pics.filmaffinity.com/coco-155051069-mmed.jpg
;255;Klaus;2019;97min;8.2;Animada;https://pics.filmaffinity.com/klaus-456555401-mmed.jpg
;256;Pesadilla antes de Navidad;1993;75min;8.0;Animada;https://pics.filmaffinity.com/the_nightmare_before_christmas-136057718-mmed.jpg
;257;El rey león;1994;85min;8.5;Animada;https://pics.filmaffinity.com/the_lion_king-983881776-mmed.jpg
;258;Onward;2020;102min;7.4;Animada;https://pics.filmaffinity.com/onward-464150296-mmed.jpg
;259;Zootrópolis;2016;108min;8.0;Animada;https://pics.filmaffinity.com/zootopia-155827662-mmed.jpg
;260;Cars;2006;116min;7.1;Animada;https://pics.filmaffinity.com/cars-746710621-mmed.jpg
;261;Kubo y las dos cuerdas mágicas;2016;101min;7.8;Animada;https://pics.filmaffinity.com/kubo_and_the_two_strings-146854951-mmed.jpg
;262;Up;2009;96min;8.2;Animada;https://pics.filmaffinity.com/up-672315222-mmed.jpg
;263;Your Name;2016;106min;8.4;Animada;https://pics.filmaffinity.com/kimi_no_na_wa_your_name-612760352-mmed.jpg
;264;Rango;2011;111min;7.2;Animada;https://pics.filmaffinity.com/rango-570593002-mmed.jpg
;265;El viaje de Chihiro;2001;124min;8.6;Animada;https://pics.filmaffinity.com/sen_to_chihiro_no_kamikakushi-348587850-mmed.jpg
;266;Vaiana;2016;113min;7.6;Animada;https://pics.filmaffinity.com/moana-802273424-mmed.jpg
;267;La edad de hielo (Ice Age);2002;75min;7.5;Animada;https://pics.filmaffinity.com/ice_age-893441955-mmed.jpg
;268;La princesa Mononoke;1997;133min;8.4;Animada;https://pics.filmaffinity.com/mononoke_hime_aka_princess_mononoke_aka-598406013-mmed.jpg
;269;El bebé jefazo;2017;97min;6.3;Animada;https://pics.filmaffinity.com/the_boss_baby-993580095-mmed.jpg
;270;Kung Fu Panda;2008;95min;7.6;Animada;https://pics.filmaffinity.com/kung_fu_panda-200447264-mmed.jpg
;271;Ratatouille;2007;110min;8.0;Animada;https://pics.filmaffinity.com/ratatouille-828434562-mmed.jpg
;272;Trolls;2016;92min;6.5;Animada;https://pics.filmaffinity.com/trolls-351313154-mmed.jpg
;273;Toy Story;1995;80min;8.3;Animada;https://pics.filmaffinity.com/toy_story-626273371-mmed.jpg
;274;Gru, mi villano favorito;2010;92min;7.6;Animada;https://pics.filmaffinity.com/despicable_me-886797392-mmed.jpg
;275;Buscando a Dory;2016;103min;7.3;Animada;https://pics.filmaffinity.com/finding_dory-418749314-mmed.jpg
;276;Madagascar;2005;80min;6.9;Animada;https://pics.filmaffinity.com/madagascar-361011039-mmed.jpg
;277;My Hero Academia: Misión mundial de héroes;2021;104min;7.5;Animada;https://pics.filmaffinity.com/boku_no_hero_academia_the_movie_world_heroes_mission-149105629-mmed.jpg
;278;Soul;2020;100min;8.1;Animada;https://pics.filmaffinity.com/soul-557797463-mmed.jpg
;279;Frozen. El reino del hielo;2013;98min;7.4;Animada;https://pics.filmaffinity.com/frozen-680009505-mmed.jpg
;280;Aladdin;1992;87min;8.0;Animada;https://pics.filmaffinity.com/aladdin-819103562-mmed.jpg
;281;101 dálmatas;1961;79min;7.3;Animada;https://pics.filmaffinity.com/one_hundred_and_one_dalmatians_101_dalmatians-288841661-mmed.jpg
;282;Luca;2021;95min;7.5;Animada;https://pics.filmaffinity.com/luca-907827591-mmed.jpg
;283;Shrek;2001;87min;7.9;Animada;https://pics.filmaffinity.com/shrek-903764423-mmed.jpg
;284;Ralph rompe Internet;2018;112min;7.0;Animada;https://pics.filmaffinity.com/ralph_breaks_the_internet-862794954-mmed.jpg
;285;Bichos, una aventura en miniatura;1998;95min;7.2;Animada;https://pics.filmaffinity.com/a_bug_s_life-189004940-mmed.jpg
;286;Los increíbles;2004;115min;8.0;Animada;https://pics.filmaffinity.com/the_incredibles-939387273-mmed.jpg
;287;Toy Story 2;1999;88min;7.9;Animada;https://pics.filmaffinity.com/toy_story_2-506817944-mmed.jpg
;288;Monstruos, S.A.;2001;88min;8.1;Animada;https://pics.filmaffinity.com/monsters_inc-336355219-mmed.jpg
;289;Del revés (Inside Out);2015;94min;8.1;Animada;https://pics.filmaffinity.com/inside_out-161470323-mmed.jpg
;290;La LEGO película;2014;100min;7.7;Animada;https://pics.filmaffinity.com/the_lego_movie-819614387-mmed.jpg
;291;Mi vecino Totoro;1988;86min;8.2;Animada;https://pics.filmaffinity.com/tonari_no_totoro-974352061-mmed.jpg
;292;Cómo entrenar a tu dragón;2010;98min;8.1;Animada;https://pics.filmaffinity.com/how_to_train_your_dragon-577181358-mmed.jpg
;293;Tarzán;1999;84min;7.3;Animada;https://pics.filmaffinity.com/tarzan-404302704-mmed.jpg
;294;Akira;1988;124min;8.0;Animada;https://pics.filmaffinity.com/akira-557684565-mmed.jpg
;295;Persépolis;2007;95min;8.0;Animada;https://pics.filmaffinity.com/persepolis-701715841-mmed.jpg
;296;Megamind;2010;96min;7.3;Animada;https://pics.filmaffinity.com/megamind-871453660-mmed.jpg
;297;Ferdinand;2017;106min;6.8;Animada;https://pics.filmaffinity.com/ferdinand-787101543-mmed.jpg
;298;Epic. El mundo secreto;2013;102min;6.7;Animada;https://pics.filmaffinity.com/epic-587748115-mmed.jpg
;299;La bella y la bestia;1991;85min;8.0;Animada;https://pics.filmaffinity.com/beauty_and_the_beast-152980110-mmed.jpg
;300;WALL•E;2008;103min;8.4;Animada;https://pics.filmaffinity.com/walloe-973488527-mmed.jpg
